*****************************
Basic coeficients
*****************************
Alpha, Cd
  -2.000    ,    .2612E-01
  -1.000    ,    .2615E-01
    .000    ,    .2705E-01
   1.000    ,    .2890E-01
   2.000    ,    .3168E-01
   3.000    ,    .3544E-01
   4.000    ,    .4017E-01
   5.000    ,    .4599E-01
   6.000    ,    .5291E-01
   7.000    ,    .6097E-01
   8.000    ,    .7022E-01
   9.000    ,    .8072E-01
   10.00    ,    .9255E-01
   12.00    ,    .1149    
   14.00    ,    .1379    
   16.00    ,    .1598    
   18.00    ,    .1754    
   19.00    ,    .1763    
   20.00    ,    .1588    
   25.00    ,    .9811E-01

Alpha, CL
  -2.000    ,   -.3809E-01
  -1.000    ,    .5160E-01
    .000    ,    .1432    
   1.000    ,    .2372    
   2.000    ,    .3338    
   3.000    ,    .4327    
   4.000    ,    .5335    
   5.000    ,    .6360    
   6.000    ,    .7399    
   7.000    ,    .8451    
   8.000    ,    .9515    
   9.000    ,    1.059    
   10.00    ,    1.168    
   12.00    ,    1.348    
   14.00    ,    1.505    
   16.00    ,    1.632    
   18.00    ,    1.699    
   19.00    ,    1.681    
   20.00    ,    1.521    
   25.00    ,    .7073E-01

Alpha, Cm
  -2.000    ,    .8623E-01
  -1.000    ,    .5979E-01
    .000    ,    .3373E-01
   1.000    ,    .6838E-02
   2.000    ,   -.2246E-01
   3.000    ,   -.5379E-01
   4.000    ,   -.8625E-01
   5.000    ,   -.1200    
   6.000    ,   -.1550    
   7.000    ,   -.1914    
   8.000    ,   -.2291    
   9.000    ,   -.2682    
   10.00    ,   -.3098    
   12.00    ,   -.3995    
   14.00    ,   -.5032    
   16.00    ,   -.6163    
   18.00    ,   -.6163    
   19.00    ,   -.6163    
   20.00    ,   -.6163    
   25.00    ,   -.6163    

Alpha, Cyb
  -2.000    ,   -.3073    
  -1.000    ,   -.3073    
    .000    ,   -.3073    
   1.000    ,   -.3073    
   2.000    ,   -.3073    
   3.000    ,   -.3073    
   4.000    ,   -.3073    
   5.000    ,   -.3073    
   6.000    ,   -.3073    
   7.000    ,   -.3073    
   8.000    ,   -.3073    
   9.000    ,   -.3073    
   10.00    ,   -.3073    
   12.00    ,   -.3073    
